,일자,요일,지점명,지점번호,구분,방향,total,Latitude_y,Longitude_y,time,floating
0,20180313.0,화,동호로(금호터널),D-03,유입,금호역->약수역,24943.0,37.55229,127.0163,8시,2406.0
0,20180313.0,화,동호로(금호터널),D-03,유입,금호역->약수역,24943.0,37.55229,127.0163,9시,2126.0
0,20180313.0,화,동호로(금호터널),D-03,유입,금호역->약수역,24943.0,37.55229,127.0163,10시,2193.0
0,20180313.0,화,동호로(금호터널),D-03,유입,금호역->약수역,24943.0,37.55229,127.0163,11시,2080.0
0,20180313.0,화,동호로(금호터널),D-03,유입,금호역->약수역,24943.0,37.55229,127.0163,12시,1949.0
0,20180313.0,화,동호로(금호터널),D-03,유입,금호역->약수역,24943.0,37.55229,127.0163,13시,1999.0
0,20180313.0,화,동호로(금호터널),D-03,유입,금호역->약수역,24943.0,37.55229,127.0163,14시,1899.0
0,20180313.0,화,동호로(금호터널),D-03,유입,금호역->약수역,24943.0,37.55229,127.0163,15시,1914.0
0,20180313.0,화,동호로(금호터널),D-03,유입,금호역->약수역,24943.0,37.55229,127.0163,16시,1910.0
0,20180313.0,화,동호로(금호터널),D-03,유입,금호역->약수역,24943.0,37.55229,127.0163,17시,1779.0
0,20180313.0,화,동호로(금호터널),D-03,유입,금호역->약수역,24943.0,37.55229,127.0163,18시,1786.0
0,20180313.0,화,동호로(금호터널),D-03,유입,금호역->약수역,24943.0,37.55229,127.0163,19시,1483.0
0,20180313.0,화,동호로(금호터널),D-03,유입,금호역->약수역,24943.0,37.55229,127.0163,20시,1419.0
0,20180314.0,수,동호로(금호터널),D-03,유입,금호역->약수역,24984.0,37.55229,127.0163,8시,2207.0
0,20180314.0,수,동호로(금호터널),D-03,유입,금호역->약수역,24984.0,37.55229,127.0163,9시,2178.0
0,20180314.0,수,동호로(금호터널),D-03,유입,금호역->약수역,24984.0,37.55229,127.0163,10시,2186.0
0,20180314.0,수,동호로(금호터널),D-03,유입,금호역->약수역,24984.0,37.55229,127.0163,11시,2077.0
0,20180314.0,수,동호로(금호터널),D-03,유입,금호역->약수역,24984.0,37.55229,127.0163,12시,1962.0
0,20180314.0,수,동호로(금호터널),D-03,유입,금호역->약수역,24984.0,37.55229,127.0163,13시,1977.0
0,20180314.0,수,동호로(금호터널),D-03,유입,금호역->약수역,24984.0,37.55229,127.0163,14시,1960.0
0,20180314.0,수,동호로(금호터널),D-03,유입,금호역->약수역,24984.0,37.55229,127.0163,15시,1840.0
0,20180314.0,수,동호로(금호터널),D-03,유입,금호역->약수역,24984.0,37.55229,127.0163,16시,1801.0
0,20180314.0,수,동호로(금호터널),D-03,유입,금호역->약수역,24984.0,37.55229,127.0163,17시,1837.0
0,20180314.0,수,동호로(금호터널),D-03,유입,금호역->약수역,24984.0,37.55229,127.0163,18시,1808.0
0,20180314.0,수,동호로(금호터널),D-03,유입,금호역->약수역,24984.0,37.55229,127.0163,19시,1579.0
0,20180314.0,수,동호로(금호터널),D-03,유입,금호역->약수역,24984.0,37.55229,127.0163,20시,1572.0
0,20180315.0,목,동호로(금호터널),D-03,유입,금호역->약수역,24189.0,37.55229,127.0163,8시,2137.0
0,20180315.0,목,동호로(금호터널),D-03,유입,금호역->약수역,24189.0,37.55229,127.0163,9시,2047.0
0,20180315.0,목,동호로(금호터널),D-03,유입,금호역->약수역,24189.0,37.55229,127.0163,10시,1946.0
0,20180315.0,목,동호로(금호터널),D-03,유입,금호역->약수역,24189.0,37.55229,127.0163,11시,2109.0
0,20180315.0,목,동호로(금호터널),D-03,유입,금호역->약수역,24189.0,37.55229,127.0163,12시,1912.0
0,20180315.0,목,동호로(금호터널),D-03,유입,금호역->약수역,24189.0,37.55229,127.0163,13시,1901.0
0,20180315.0,목,동호로(금호터널),D-03,유입,금호역->약수역,24189.0,37.55229,127.0163,14시,1832.0
0,20180315.0,목,동호로(금호터널),D-03,유입,금호역->약수역,24189.0,37.55229,127.0163,15시,1963.0
0,20180315.0,목,동호로(금호터널),D-03,유입,금호역->약수역,24189.0,37.55229,127.0163,16시,1866.0
0,20180315.0,목,동호로(금호터널),D-03,유입,금호역->약수역,24189.0,37.55229,127.0163,17시,1873.0
0,20180315.0,목,동호로(금호터널),D-03,유입,금호역->약수역,24189.0,37.55229,127.0163,18시,1717.0
0,20180315.0,목,동호로(금호터널),D-03,유입,금호역->약수역,24189.0,37.55229,127.0163,19시,1537.0
0,20180315.0,목,동호로(금호터널),D-03,유입,금호역->약수역,24189.0,37.55229,127.0163,20시,1349.0
0,20180316.0,금,동호로(금호터널),D-03,유입,금호역->약수역,25453.0,37.55229,127.0163,8시,2296.0
0,20180316.0,금,동호로(금호터널),D-03,유입,금호역->약수역,25453.0,37.55229,127.0163,9시,2150.0
0,20180316.0,금,동호로(금호터널),D-03,유입,금호역->약수역,25453.0,37.55229,127.0163,10시,2154.0
0,20180316.0,금,동호로(금호터널),D-03,유입,금호역->약수역,25453.0,37.55229,127.0163,11시,2172.0
0,20180316.0,금,동호로(금호터널),D-03,유입,금호역->약수역,25453.0,37.55229,127.0163,12시,1932.0
0,20180316.0,금,동호로(금호터널),D-03,유입,금호역->약수역,25453.0,37.55229,127.0163,13시,2000.0
0,20180316.0,금,동호로(금호터널),D-03,유입,금호역->약수역,25453.0,37.55229,127.0163,14시,1903.0
0,20180316.0,금,동호로(금호터널),D-03,유입,금호역->약수역,25453.0,37.55229,127.0163,15시,1949.0
0,20180316.0,금,동호로(금호터널),D-03,유입,금호역->약수역,25453.0,37.55229,127.0163,16시,1871.0
0,20180316.0,금,동호로(금호터널),D-03,유입,금호역->약수역,25453.0,37.55229,127.0163,17시,1787.0
0,20180316.0,금,동호로(금호터널),D-03,유입,금호역->약수역,25453.0,37.55229,127.0163,18시,1844.0
0,20180316.0,금,동호로(금호터널),D-03,유입,금호역->약수역,25453.0,37.55229,127.0163,19시,1705.0
0,20180316.0,금,동호로(금호터널),D-03,유입,금호역->약수역,25453.0,37.55229,127.0163,20시,1690.0
0,20180317.0,토,동호로(금호터널),D-03,유입,금호역->약수역,23293.0,37.55229,127.0163,8시,1409.0
0,20180317.0,토,동호로(금호터널),D-03,유입,금호역->약수역,23293.0,37.55229,127.0163,9시,1791.0
0,20180317.0,토,동호로(금호터널),D-03,유입,금호역->약수역,23293.0,37.55229,127.0163,10시,1838.0
0,20180317.0,토,동호로(금호터널),D-03,유입,금호역->약수역,23293.0,37.55229,127.0163,11시,2071.0
0,20180317.0,토,동호로(금호터널),D-03,유입,금호역->약수역,23293.0,37.55229,127.0163,12시,2074.0
0,20180317.0,토,동호로(금호터널),D-03,유입,금호역->약수역,23293.0,37.55229,127.0163,13시,1977.0
0,20180317.0,토,동호로(금호터널),D-03,유입,금호역->약수역,23293.0,37.55229,127.0163,14시,1843.0
0,20180317.0,토,동호로(금호터널),D-03,유입,금호역->약수역,23293.0,37.55229,127.0163,15시,1798.0
0,20180317.0,토,동호로(금호터널),D-03,유입,금호역->약수역,23293.0,37.55229,127.0163,16시,1879.0
0,20180317.0,토,동호로(금호터널),D-03,유입,금호역->약수역,23293.0,37.55229,127.0163,17시,1782.0
0,20180317.0,토,동호로(금호터널),D-03,유입,금호역->약수역,23293.0,37.55229,127.0163,18시,1635.0
0,20180317.0,토,동호로(금호터널),D-03,유입,금호역->약수역,23293.0,37.55229,127.0163,19시,1745.0
0,20180317.0,토,동호로(금호터널),D-03,유입,금호역->약수역,23293.0,37.55229,127.0163,20시,1451.0
0,20180318.0,일,동호로(금호터널),D-03,유입,금호역->약수역,20355.0,37.55229,127.0163,8시,888.0
0,20180318.0,일,동호로(금호터널),D-03,유입,금호역->약수역,20355.0,37.55229,127.0163,9시,1309.0
0,20180318.0,일,동호로(금호터널),D-03,유입,금호역->약수역,20355.0,37.55229,127.0163,10시,1577.0
